Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Austria,AUT,EUR,HIC,2025,1,15_64,
Austria,AUT,EUR,HIC,2025,2,15_64,
Azerbaijan,AZE,EUR,UMC,2025,1,15_64,
Azerbaijan,AZE,EUR,UMC,2025,1,0_4,
Azerbaijan,AZE,EUR,UMC,2025,2,0_4,
Azerbaijan,AZE,EUR,UMC,2025,1,5_14,
Azerbaijan,AZE,EUR,UMC,2025,1,65+,
Azerbaijan,AZE,EUR,UMC,2025,2,5_14,
Azerbaijan,AZE,EUR,UMC,2025,2,65+,
Azerbaijan,AZE,EUR,UMC,2025,2,15_64,
Bahamas,BHS,AMR,HIC,2025,1,5_14,
Bahamas,BHS,AMR,HIC,2025,2,5_14,
Bahamas,BHS,AMR,HIC,2025,1,0_4,
Bahamas,BHS,AMR,HIC,2025,2,0_4,
Bahamas,BHS,AMR,HIC,2025,2,15_64,
Bahamas,BHS,AMR,HIC,2025,1,15_64,
Bahamas,BHS,AMR,HIC,2025,1,65+,
Bahamas,BHS,AMR,HIC,2025,2,65+,
Bahrain,BHR,EMR,HIC,2025,1,65+,
Bahrain,BHR,EMR,HIC,2025,2,65+,
Bahrain,BHR,EMR,HIC,2025,1,15_64,
Bahrain,BHR,EMR,HIC,2025,2,15_64,
Bahrain,BHR,EMR,HIC,2025,1,0_4,
Bahrain,BHR,EMR,HIC,2025,2,0_4,
Bahrain,BHR,EMR,HIC,2025,1,5_14,
Bahrain,BHR,EMR,HIC,2025,2,5_14,
Bangladesh,BGD,SEAR,LMC,2025,1,65+,
Bangladesh,BGD,SEAR,LMC,2025,2,5_14,
Bangladesh,BGD,SEAR,LMC,2025,1,5_14,
Bangladesh,BGD,SEAR,LMC,2025,2,65+,
Bangladesh,BGD,SEAR,LMC,2025,2,15_64,
Bangladesh,BGD,SEAR,LMC,2025,1,15_64,
Bangladesh,BGD,SEAR,LMC,2025,1,0_4,
Bangladesh,BGD,SEAR,LMC,2025,2,0_4,
Barbados,BRB,AMR,HIC,2025,1,15_64,
Barbados,BRB,AMR,HIC,2025,2,15_64,
Barbados,BRB,AMR,HIC,2025,2,0_4,
Barbados,BRB,AMR,HIC,2025,1,0_4,
Barbados,BRB,AMR,HIC,2025,1,5_14,
Barbados,BRB,AMR,HIC,2025,1,65+,
Barbados,BRB,AMR,HIC,2025,2,5_14,
Barbados,BRB,AMR,HIC,2025,2,65+,
Belarus,BLR,EUR,UMC,2025,1,0_4,
Belarus,BLR,EUR,UMC,2025,1,15_64,
Belarus,BLR,EUR,UMC,2025,2,15_64,
Belarus,BLR,EUR,UMC,2025,1,5_14,
Belarus,BLR,EUR,UMC,2025,2,5_14,
Belarus,BLR,EUR,UMC,2025,1,65+,
Belarus,BLR,EUR,UMC,2025,2,65+,
Belarus,BLR,EUR,UMC,2025,2,0_4,
Belgium,BEL,EUR,HIC,2025,1,65+,
Belgium,BEL,EUR,HIC,2025,2,65+,
Belgium,BEL,EUR,HIC,2025,2,0_4,
Belgium,BEL,EUR,HIC,2025,1,0_4,
Belgium,BEL,EUR,HIC,2025,1,15_64,
Belgium,BEL,EUR,HIC,2025,1,5_14,
Belgium,BEL,EUR,HIC,2025,2,15_64,
Belgium,BEL,EUR,HIC,2025,2,5_14,
Belize,BLZ,AMR,UMC,2025,1,15_64,
Belize,BLZ,AMR,UMC,2025,2,15_64,
Belize,BLZ,AMR,UMC,2025,1,0_4,
Belize,BLZ,AMR,UMC,2025,1,5_14,
Belize,BLZ,AMR,UMC,2025,2,0_4,
Belize,BLZ,AMR,UMC,2025,2,5_14,
Belize,BLZ,AMR,UMC,2025,1,65+,
Belize,BLZ,AMR,UMC,2025,2,65+,
Benin,BEN,AFR,LMC,2025,1,5_14,
Benin,BEN,AFR,LMC,2025,1,65+,
Benin,BEN,AFR,LMC,2025,2,5_14,
Benin,BEN,AFR,LMC,2025,2,65+,
Benin,BEN,AFR,LMC,2025,1,0_4,
Benin,BEN,AFR,LMC,2025,2,0_4,
Benin,BEN,AFR,LMC,2025,2,15_64,
Benin,BEN,AFR,LMC,2025,1,15_64,
Bermuda,BMU,AMR,HIC,2025,1,15_64,
Bermuda,BMU,AMR,HIC,2025,2,15_64,
Bermuda,BMU,AMR,HIC,2025,1,5_14,
Bermuda,BMU,AMR,HIC,2025,1,65+,
Bermuda,BMU,AMR,HIC,2025,2,5_14,
Bermuda,BMU,AMR,HIC,2025,2,65+,
Bermuda,BMU,AMR,HIC,2025,1,0_4,
Bermuda,BMU,AMR,HIC,2025,2,0_4,
Bhutan,BTN,SEAR,LMC,2025,1,0_4,
Bhutan,BTN,SEAR,LMC,2025,1,15_64,
Bhutan,BTN,SEAR,LMC,2025,2,15_64,
Bhutan,BTN,SEAR,LMC,2025,2,0_4,
Bhutan,BTN,SEAR,LMC,2025,2,65+,
Bhutan,BTN,SEAR,LMC,2025,2,5_14,
Bhutan,BTN,SEAR,LMC,2025,1,5_14,
Bhutan,BTN,SEAR,LMC,2025,1,65+,
